Hearing Date,Hearing Time,Scheduled Hearing Location,Ticket Number,Respondent Last Name,Balance Due,Charge #1: Code Section,Hearing Status,Hearing Result,Violation Date,Violation Time,Issuing Agency,Respondent First Name,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
11/25/2015,08:30:00,BROOKLYN,0880718410,GOLDIN MANAGEMENT THOMAS SUS,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,BROOKLYN,00974,7504,302,2 STREET,,BROOKLYN,11215,NEW YORK,BROOKLYN,25,8 AVENUE,BROOKLYN,11217,NEW YORK,,11/30/2015,$1000.00,20151125N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,10:30:00,QUEENS,0880718502,ROCHDALE VILLAGE INC,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,QUEENS,,,163-15,BAISLEY BOULEVARD,,JAMAICA,11434,NEW YORK,QUEENS,13435,166 PLACE,JAMAICA,11434,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,10:30:00,QUEENS,0880718612,18-15 215 OWNRS CORP C O METRO,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,QUEENS,05938,0007,18-15,215 STREET,,BAYSIDE,11360,NEW YORK,QUEENS,4225,21 STREET,LONG ISLAND CIT,11101,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,08:30:00,QUEENS,0880718621,METRO MANAGEMENT C O SCOTT LAW,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,QUEENS,05938,0007,18-15,215 STREET,,BAYSIDE,11360,NEW YORK,QUEENS,42-25,21 STREET,LONG ISLAND CIT,11101,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,08:30:00,QUEENS,0880718630,18-15 215 ST OWNER CORP C O ME,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,QUEENS,05938,0007,18-15,215 STREET,,BAYSIDE,11360,NEW YORK,QUEENS,4225,21 STREET,LONG ISLAND CIT,11101,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,08:30:00,QUEENS,0880718640,METRO MANAGEMENT C O SCOTT LAW,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,QUEENS,05938,0007,18-15,215 STREET,,BAYSIDE,11360,NEW YORK,QUEENS,42-25,21 STREET,LONG ISLAND CIT,11101,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,10:30:00,QUEENS,0880718659,18 15 215 ST OWNERS CORP C O M,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,QUEENS,05938,0007,18-15,215 STREET,,BAYSIDE,11360,NEW YORK,QUEENS,4225,21 STREET,LONG ISLAND CIT,11101,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/22/2017,08:30:00,MANHATTAN,0193642956,BROADWAY SUGAR HILL HOUSING DE,$0.00,24RCNY8-05 C 3,HEARING COMPLETED,DISMISSED,10/04/2016,16:10:00,COOLING TOWERS - DOHMH,,MANHATTAN,02069,7501,400,WEST 155 STREET,,NEW YORK,10032,NEW YORK,MANHATTAN,583,RIVERSIDE DRIVE,NEW YORK,10031,NEW YORK,MANHATTAN,02/22/2017,$500.00,20170222N,,,$0.00,$0.00,$0.00,All Terms Met,,AH8L,NO RECORDS OF ALL CHEMICALS AND BIOCIDES ADDED 1ST,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/22/2017,08:30:00,MANHATTAN,0193642882,THE ANDREWS ORGANIZATION INC,$0.00,24RCNY8-05 F 2,HEARING COMPLETED,DISMISSED,10/04/2016,10:49:00,COOLING TOWERS - DOHMH,,MANHATTAN,00510,7501,285,LAFAYETTE STREET,,NEW YORK,10012,NEW YORK,MANHATTAN,666,BROADWAY,NEW YORK,10012,NEW YORK,MANHATTAN,02/27/2017,$500.00,20170222N,,,$0.00,$0.00,$0.00,All Terms Met,,AH8R,FAIL TO COLLECT ANALYZE RECORD WEEKLY BIO PROCESS CONTROL INDICATORS 1,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2017,10:30:00,QUEENS,0193648557,IG SECOND GENERATION PARTNERS,$530.00,24RCNY8-05 C 3,DEFAULTED,DEFAULTED,10/07/2016,11:00:00,COOLING TOWERS - DOHMH,,QUEENS,09794,0036,89-41,164 STREET,,JAMAICA,11432,NEW YORK,MANHATTAN,417,5 AVENUE,NEW YORK,10016,NEW YORK,,03/16/2017,$500.00,20170309N,,,$530.00,$0.00,$0.00,Penalty Due,,AH8L,NO RECORDS OF ALL CHEMICALS AND BIOCIDES ADDED 1ST,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2017,08:30:00,MANHATTAN,0193649381,594 ASSOCIATES LLC,$500.00,24RCNY8-05 F 2,RESCHEDULED,,10/06/2016,10:11:00,COOLING TOWERS - DOHMH,,MANHATTAN,00511,0012,594,BROADWAY,,NEW YORK,10012,NEW YORK,MANHATTAN,125,PARK AVENUE,NEW YORK,10017,NEW YORK,,,$500.00,20170224N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8R,FAIL TO COLLECT ANALYZE RECORD WEEKLY BIO PROCESS CONTROL INDICATORS 1,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2017,08:30:00,MANHATTAN,0193659520,1 WEST 3RD STREET CORP,$0.00,NYCHC 3.05,PAID IN FULL,IN VIOLATION,01/18/2017,09:00:00,COOLING TOWERS - DOHMH,,MANHATTAN,00893,0082,106,EAST 38 STREET,,NEW YORK,10016,NEW YORK,MANHATTAN,340,EAST 46 STREET,NEW YORK,10017,NEW YORK,MANHATTAN,02/27/2017,$1000.00,20170227N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2017,08:30:00,MANHATTAN,0193659602,FLAMINGO TRAILER PARK CORPORAT,$0.00,NYCHC 3.05,PAID IN FULL,,01/18/2017,09:00:00,COOLING TOWERS - DOHMH,,MANHATTAN,00513,0036,101,PRINCE STREET,,NEW YORK,10012,NEW YORK,MANHATTAN,101,PRINCE STREET,NEW YORK,10012,NEW YORK,,,$1000.00,20170227N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651691,GREATER NY AUTO DEALERS,$500.00,24RCNY8-05 F 2,RESCHEDULED,,10/21/2016,09:52:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8R,FAIL TO COLLECT ANALYZE RECORD WEEKLY BIO PROCESS CONTROL INDICATORS 1,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651700,GREATER NY AUTO DEALERS,$500.00,24RCNY8-04 A,RESCHEDULED,,10/21/2016,10:31:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651710,GREATER NY AUTO DEALERS,$500.00,24RCNY8-04 A,RESCHEDULED,,10/21/2016,09:52:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651729,GREATER NY AUTO DEALERS,$1000.00,24RCNY8-03,RESCHEDULED,,10/21/2016,10:31:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$1000.00,20170302N,,,$1000.00,$0.00,$0.00,Penalty Due,,AH8A,NO MAINTENANCE PROGRAM AND PLAN 1ST OFF,$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651738,GREATER NY AUTO DEALERS,$500.00,24RCNY8-05 F 2,RESCHEDULED,,10/21/2016,10:31:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8R,FAIL TO COLLECT ANALYZE RECORD WEEKLY BIO PROCESS CONTROL INDICATORS 1,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651747,GREATER NY AUTO DEALERS,$1000.00,24RCNY8-03,RESCHEDULED,,10/21/2016,10:31:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$1000.00,20170302N,,,$1000.00,$0.00,$0.00,Penalty Due,,AH8A,NO MAINTENANCE PROGRAM AND PLAN 1ST OFF,$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193651756,GREATER NY AUTO DEALERS,$500.00,24RCNY8-04 A,RESCHEDULED,,10/21/2016,10:31:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653287,GREATER NEW YORK AUTO DEALER,$500.00,24RCNY8-04 A,RESCHEDULED,ADJOURNED,10/21/2016,10:34:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653296,GREATER NEW YORK AUTO DEALER,$1000.00,24RCNY8-03,RESCHEDULED,ADJOURNED,10/21/2016,10:34:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$1000.00,20170302N,,,$1000.00,$0.00,$0.00,Penalty Due,,AH8A,NO MAINTENANCE PROGRAM AND PLAN 1ST OFF,$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653305,GREATER NEW YORK AUTO DEALERS,$500.00,24RCNY8-05 F 2,RESCHEDULED,ADJOURNED,10/21/2016,10:35:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8R,FAIL TO COLLECT ANALYZE RECORD WEEKLY BIO PROCESS CONTROL INDICATORS 1,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653314,GREATER NEW YORK AUTO DEALER,$500.00,24RCNY8-04 A,RESCHEDULED,,10/21/2016,10:35:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653323,GREATER NEW YORK AUTO DEALER,$1000.00,24RCNY8-03,RESCHEDULED,,10/21/2016,10:35:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$1000.00,20170302N,,,$1000.00,$0.00,$0.00,Penalty Due,,AH8A,NO MAINTENANCE PROGRAM AND PLAN 1ST OFF,$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653332,GREATER NEW YORK AUTO DEALER,$500.00,24RCNY8-04 A,RESCHEDULED,,10/21/2016,10:29:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2017,08:30:00,QUEENS,0193653341,GREATER NEW YORK AUTO DEALERS,$1000.00,24RCNY8-03,RESCHEDULED,,10/21/2016,10:29:00,COOLING TOWERS - DOHMH,,QUEENS,04125,0001,139-10,15 AVENUE,,WHITESTONE,11357,NEW YORK,QUEENS,18-10,I 678,WHITESTONE,11357,NEW YORK,,,$1000.00,20170302N,,,$1000.00,$0.00,$0.00,Penalty Due,,AH8A,NO MAINTENANCE PROGRAM AND PLAN 1ST OFF,$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/20/2017,10:00:00,QUEENS,0193653433,EXECUTIVE HOUSE OWNERS INC,$500.00,24RCNY8-04 A,RESCHEDULED,,10/24/2016,13:00:00,COOLING TOWERS - DOHMH,,QUEENS,02250,0001,72-35,112 STREET,,FOREST HILLS,11375,NEW YORK,MANHATTAN,70,EAST 55 STREET,NEW YORK,10022,NEW YORK,,,$500.00,20170302N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
