Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
037000270K,09/21/2015,03:15:00,DEPT. OF BUILDINGS,"WHITEHALL PROPERTIES,LLC",,$0.00,MANHATTAN,00824,0011,56,WEST 23 STREET,,MANHATTAN,10010,NEW YORK,MANHATTAN,18,EAST 50 STREET,NEW YORK,10022,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000276L,09/21/2015,02:27:00,DEPT. OF BUILDINGS,THE DOWNTOWN CLUB CONDOMINIUM,,$0.00,MANHATTAN,00015,7502,28,WASHINGTON STREET,,NY,10004,NEW YORK,MANHATTAN,20,JOE DIMAGGIO HIGHWAY,NY,10004,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000269N,09/21/2015,06:50:00,DEPT. OF BUILDINGS,42 43 REALTY LLC,,$0.00,MANHATTAN,01033,0009,343,WEST 42 STREET,,MANHATTAN,10036,NEW YORK,MANHATTAN,770,LEXINGTON AVENUE,NEW YORK,10065,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000265X,09/21/2015,10:30:00,DEPT. OF BUILDINGS,NEW YORK UNIVERSITY,,$0.00,MANHATTAN,00550,0001,2,WASHINGTON SQUARE NORTH,,NY,10003,NEW YORK,MANHATTAN,70,WASHINGTON SQUARE SOUTH,NY,10012,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000197N,09/21/2015,04:00:00,DEPT. OF BUILDINGS,ROYAL CROSPIN CORP,,$0.00,MANHATTAN,00497,0012,90,CROSBY STREET,,NY,10012,NEW YORK,MANHATTAN,552,BROADWAY,NY,10012,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,04/20/2016,10:30:00,MANHATTAN,04/20/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000194H,09/21/2015,06:35:00,DEPT. OF BUILDINGS,"462 BDWY LAND,LP",,$0.00,MANHATTAN,00473,0001,462,BROADWAY,,NY,10013,NEW YORK,MANHATTAN,30,WEST 26 STREET,NY,10010,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,03/31/2016,08:30:00,MANHATTAN,03/31/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000193X,09/21/2015,01:50:00,DEPT. OF BUILDINGS,OWNER OF 144 CHURCH STREET,,$0.00,MANHATTAN,00136,7502,144,CHURCH STREET,,NY,10007,NEW YORK,MANHATTAN,38,WARREN STREET,NY,10007,NEW YORK,PAID IN FULL,STIPULATED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,05/31/2016,,$800.00,$800.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000273X,09/21/2015,03:00:00,DEPT. OF BUILDINGS,"CHENAULT, KATHRYN C",,$0.00,MANHATTAN,01507,7502,5,EAST 95 STREET,,NY,10128,NEW YORK,MANHATTAN,3,EAST 95 STREET,NY,10128,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/19/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$400.00,$400.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000283J,09/21/2015,12:30:00,DEPT. OF BUILDINGS,OWNER OF 144 NASSAU STREET,,$0.00,MANHATTAN,00100,7501,144,NASSAU STREET,,NY,10038,NEW YORK,MANHATTAN,150,NASSAU STREET,NY,10038,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000279R,09/21/2015,05:00:00,DEPT. OF BUILDINGS,1765 FIRST ASSOCIATES LLC,,$0.00,MANHATTAN,01554,0023,1757,1 AVENUE,,NY,10128,NEW YORK,MANHATTAN,1761,1 AVENUE,NY,10128,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000284L,09/21/2015,04:40:00,DEPT. OF BUILDINGS,42ND ST.DEVELOPMENTCORP.,,$0.00,MANHATTAN,01051,0029,403,WEST 41 STREET,,MANHATTAN,10036,NEW YORK,MANHATTAN,330,WEST 42 STREET,NEW YORK,10036,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/25/2015,10:30:00,MANHATTAN,11/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000296Z,09/21/2015,01:15:00,DEPT. OF BUILDINGS,MARATHON ENTERPRISES INC,,$0.00,BRONX,02590,0089,777,EAST 138 STREET,,BX,10454,NEW YORK,NOT NYC,9,SMITH ST,ENGLEWOOD,07631,NEW JERSEY,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/07/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000287R,09/21/2015,04:05:00,DEPT. OF BUILDINGS,NEW YORK UNIVERSITY,,$0.00,MANHATTAN,00548,0004,11,UNIVERSITY PLACE,,NY,10003,NEW YORK,MANHATTAN,70,WASHINGTON SQUARE SOUTH,NY,10012,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/05/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000298M,09/21/2015,08:00:00,DEPT. OF BUILDINGS,1887 BATHGATE PROPERTIES LLC,,$0.00,BRONX,02918,0024,1887,BATHGATE AVENUE,,BX,10457,NEW YORK,MANHATTAN,340,WEST 85 STREET,NY,10024,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/29/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000319M,09/21/2015,08:00:00,DEPT. OF BUILDINGS,PARKCHESTER SOUTH CONDOMINIUM,,$0.00,BRONX,03937,7501,1489,METROPOLITAN AVENUE,,BX,10462,NEW YORK,BRONX,2000,EAST TREMONT AVENUE,BX,10462,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,12/18/2015,08:30:00,BRONX,12/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000339J,09/21/2015,02:20:00,DEPT. OF BUILDINGS,RC CHU OF ST ANSELM,,$0.00,BRONX,02654,0001,685,TINTON AVENUE,,BX,10455,NEW YORK,BRONX,685,TINTON AVENUE,BX,10455,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/19/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000297K,09/21/2015,02:00:00,DEPT. OF BUILDINGS,RC CH ST ATHANASIUS,,$4000.00,BRONX,02732,0012,826,SOUTHERN BOULEVARD,,BX,10459,NEW YORK,BRONX,826,SOUTHERN BOULEVARD,BX,10459,NEW YORK,DOCKETED,DEFAULTED,BRONX,11/20/2015,10:30:00,,11/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000335M,09/21/2015,06:40:00,DEPT. OF BUILDINGS,ALBERT EINSTEIN COLL,,$0.00,BRONX,04205,0002,1945,EASTCHESTER ROAD,,BX,10461,NEW YORK,BRONX,1925,EASTCHESTER ROAD,BX,10461,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,10/30/2015,10:30:00,BRONX,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000341Z,09/21/2015,06:15:00,DEPT. OF BUILDINGS,HUTCH REALTY PARTNERS LLC,,$0.00,BRONX,04226,0040,300,MARCONI STREET,,BX,10461,NEW YORK,BRONX,1250,WATERS PLACE,BX,10461,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,10/30/2015,10:30:00,BRONX,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000334K,09/21/2015,01:30:00,DEPT. OF BUILDINGS,RIVERBAY CORP,,$0.00,BRONX,05141,0120,25,ADLER PLACE,,BX,10475,NEW YORK,BRONX,2049,BARTOW AVENUE,BX,10475,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,06/10/2016,08:30:00,BRONX,06/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000364L,09/21/2015,09:20:00,DEPT. OF BUILDINGS,DEPT OF CONSUMER AFFAIRS,866,$0.00,BROOKLYN,02604,0001,245,MESEROLE AVENUE,,BKLYN,11222,NEW YORK,MANHATTAN,80,LAFAYETTE STREET,NY,10013,NEW YORK,WRITTEN OFF,POP IN-VIOL,BROOKLYN,11/09/2015,10:30:00,,09/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000365N,09/21/2015,10:00:00,DEPT. OF BUILDINGS,207 AINSLIE LLC,,$0.00,BROOKLYN,02770,0001,207,AINSLIE STREET,,BKLYN,11211,NEW YORK,BROOKLYN,100A,BROADWAY,BKLYN,11249,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000429N,09/21/2015,08:30:00,DEPT. OF BUILDINGS,"MKRF,LLC",,$0.00,QUEENS,00042,7501,10-63,JACKSON AVENUE,,QNS,11101,NEW YORK,MANHATTAN,210,EAST 23 STREET,NY,10010,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,10:30:00,BROOKLYN,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000434H,09/21/2015,07:25:00,DEPT. OF BUILDINGS,NOUBAR MAHDESSIAN AS TRUSTEE,,$0.00,QUEENS,00459,0064,42-20,12 STREET,,QNS,11101,NEW YORK,NOT NYC,251-51,GASKELL ROAD,LITTLE NECK,11362,NEW YORK,PAID IN FULL,DEFAULTED,QUEENS,11/17/2015,10:30:00,,11/23/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,02/29/2016,,$4000.00,$858.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000433X,09/21/2015,07:35:00,DEPT. OF BUILDINGS,WILSON HANLEY INC,,$0.00,QUEENS,00441,0004,21-11,44 AVENUE,,QNS,11101,NEW YORK,QUEENS,21-11,44 AVENUE,LIC,11101,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,10:30:00,BROOKLYN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000444L,09/21/2015,01:45:00,DEPT. OF BUILDINGS,DELTA KEW HOLDING CORP,,$0.00,QUEENS,06634,0001,139-01,GRAND CENTRAL PARKWAY,,QNS,11435,NEW YORK,QUEENS,139-01,GRAND CENTRAL PARKWAY,QNS,11435,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,10:30:00,BROOKLYN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
